"","x"
"1",26.274024
"2",26.6960285
"3",27.027043
"4",28.732919
"5",30.230346
"6",30.8624495
"7",32.831825
"8",33.761236
"9",35.49258
"10",38.258032
"11",39.04615
"12",37.278905
"13",17.340681
"14",15.039643
"15",14.6535525
"16",15.6127005
"17",16.260241
"18",16.653021
"19",6.094504
"20",1.2014495
"21",6.780023
"22",1.753581
"23",3.724308
"24",2.177956
"25",44.496034
"26",42.199087
"27",18.219684
"28",18.021391
"29",20.4797835
"30",18.541605
"31",15.7447485
"32",12.34941
"33",10.0074765
"34",8.4325785
"35",7.0557105
"36",0
"37",4.656986
"38",8.1406075
"39",6.6587455
"40",0.8473095
"41",3.070806
"42",4.8044235
"43",7.595385
"44",8.8138865
"45",11.941464
"46",0
"47",10.8795005
"48",15.280063
"49",13.298363
"50",15.921551
"51",2.291244
"52",29.916068
"53",31.219426
"54",18.5858775
"55",13.759026
"56",12.1771835
"57",5.099501
"58",26.24021
"59",17.863157
"60",9.817809
"61",0.2306155
"62",8.184728
"63",22.2002915
"64",17.0477025
"65",20.021687
"66",21.2243115
"67",17.2885635
"68",14.3527475
"69",13.0359635
"70",14.266399
"71",23.725443
"72",25.63548
"73",22.8646605
"74",29.380045
"75",35.6561655
"76",38.776364
"77",2.355565
"78",0
"79",0
"80",0
"81",23.852786
"82",0
"83",0
"84",0
"85",21.4397085
"86",18.458796
"87",9.2567775
"88",2.942846
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",63.688908
"99",10.6455345
"100",3.398517
"101",42.6275
"102",75.932668
"103",75.349361
"104",79.773485
"105",63.675197
"106",51.4773285
"107",48.410071
"108",41.004821
"109",37.0408885
"110",11.2591915
"111",19.5591065
"112",26.6197015
"113",21.380302
"114",57.190207
"115",55.7178875
"116",65.8044025
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",61.003011
"124",57.332864
"125",46.7833205
"126",41.435196
"127",34.159751
"128",66.4807275
"129",17.7844655
"130",24.322819
"131",31.7798845
"132",18.885748
"133",26.5373185
"134",22.8937225
"135",3.707076
"136",1.067938
"137",0.058707
"138",0.652748
"139",3.347784
"140",1.273634
"141",0.927027
"142",3.1401365
"143",0
"144",0
"145",0
"146",0
"147",0.717002
"148",0
"149",12.163243
"150",8.062333
"151",4.3357595
"152",2.7617665
"153",0.936095
"154",2.3327685
"155",2.9860425
"156",0.955034
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",3.0396745
"166",4.1515475
"167",2.736761
"168",1.38317
"169",1.782279
"170",3.315963
"171",5.30267
"172",5.7542755
"173",0.7391195
"174",3.5778085
"175",6.398222
"176",10.632102
"177",14.6451035
"178",17.7839835
"179",11.397626
"180",3.4650005
"181",4.1655385
"182",10.949212
"183",3.210842
"184",2.6921275
"185",0.7425485
"186",3.2927955
"187",4.0238705
"188",3.081569
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",10.975126
"207",53.27821
"208",51.8269655
"209",44.3332495
"210",45.003723
"211",32.4592695
"212",26.835839
"213",12.8404865
"214",7.931562
"215",3.9791265
"216",18.822764
"217",14.378784
"218",19.1146045
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",3.8873315
"264",9.1892505
"265",14.1872885
"266",11.445409
"267",13.862962
"268",10.780814
"269",26.405637
"270",38.355604
"271",38.637283
"272",37.301211
"273",67.1375815
"274",66.2596315
"275",66.5246485
"276",69.7963005
"277",51.290585
"278",48.749771
"279",42.7784925
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",16.062933
"323",18.322437
"324",19.13076
"325",20.3147205
"326",27.530028
"327",33.954895
"328",36.258049
"329",38.5208775
"330",44.3628865
"331",46.454248
"332",49.2837325
"333",53.455914
"334",57.565363
"335",57.925117
"336",58.1561135
"337",59.326716
"338",60.9518
"339",59.923064
"340",59.569113
"341",59.5479995
"342",59.5424475
"343",60.120069
"344",61.491386
"345",60.773387
"346",59.3801025
"347",59.038616
"348",58.786065
"349",58.5689135
"350",58.695689
"351",60.65849
"352",60.451933
"353",62.0903615
"354",62.354242
"355",62.4928915
"356",62.532894
"357",63.155239
"358",62.722485
"359",0
"360",63.007478
"361",63.333992
"362",65.31905
"363",67.6651545
"364",69.173203
"365",70.9785215
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",19.578964
"454",41.531624
"455",37.500917
"456",56.427781
"457",51.029722
"458",47.4133135
"459",37.912895
"460",33.7639105
"461",20.4503835
"462",0.88148
"463",7.6238995
"464",10.445386
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",1.988815
"497",2.82699
"498",6.137748
"499",5.1373355
"500",5.9885185
"501",8.47941
"502",8.964179
"503",9.9761235
"504",13.1837025
"505",15.113742
"506",15.134254
"507",15.810334
"508",15.234343
"509",15.512501
"510",15.281886
"511",15.360969
"512",15.6094155
"513",16.192178
"514",16.1694335
"515",16.660291
"516",19.174211
"517",20.7443405
"518",21.31709
"519",21.629538
"520",22.174242
"521",21.0425275
"522",19.713909
"523",19.794609
"524",3.759313
"525",3.856424
"526",3.846388
"527",3.0599335
"528",2.647801
"529",2.600745
"530",2.3673315
"531",0.952424
"532",1.608305
"533",2.134992
"534",2.2927435
"535",2.276576
"536",2.629626
"537",4.3999545
"538",6.3164435
"539",5.672908
"540",5.669332
"541",9.4641605
"542",10.585206
"543",9.027288
"544",7.262774
"545",6.881699
"546",6.364986
"547",3.8328565
"548",1.122153
"549",1.0641645
"550",0.320006
"551",3.881274
"552",4.358587
"553",5.1236525
"554",7.102011
"555",9.6285555
"556",10.814084
"557",11.413215
"558",13.9609415
"559",16.6960155
"560",16.912323
"561",16.790736
"562",1.519509
"563",1.1003295
"564",1.272647
"565",0
"566",0
"567",0
"568",0.642379
"569",0.873253
"570",0.2859065
"571",0.598561
"572",0.679056
"573",0.544595
"574",0.206448
"575",0.2213895
"576",0.244194
"577",0.3758545
"578",1.828581
"579",4.258134
"580",3.2396995
"581",1.464465
"582",2.306406
"583",4.142457
"584",10.743788
"585",22.108546
"586",31.559924
"587",0.188096
"588",18.0901625
"589",25.165562
"590",72.9275045
"591",75.899963
"592",74.5937295
"593",73.9467305
"594",75.074389
"595",72.4258015
"596",66.536511
"597",54.115142
"598",54.0176875
"599",0.3431555
"600",2.7905205
"601",8.038858
"602",8.341857
"603",3.268593
"604",6.4794875
"605",40.556212
"606",28.573002
"607",12.8786725
"608",0
"609",0
"610",12.734736
"611",9.363544
"612",3.9369855
"613",3.280012
"614",0
"615",0
"616",43.5474975
"617",42.0836765
"618",30.799701
"619",23.370222
"620",16.905185
"621",9.8061225
"622",7.744589
"623",5.845936
"624",1.4073055
"625",6.233316
"626",0
"627",44.71173
"628",5.2065235
"629",8.426677
"630",38.6410675
"631",40.8557765
"632",40.45397
"633",31.222203
"634",30.1393035
"635",30.671594
"636",21.1547895
"637",19.560671
"638",20.5523985
"639",14.249627
"640",16.6705285
"641",16.36724
"642",13.711065
"643",14.495472
"644",2.0517645
"645",14.034722
"646",11.2046405
"647",11.621556
"648",9.497171
"649",9.497171
"650",9.0909895
"651",8.5792975
"652",8.3552955
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0
"667",0
"668",0
"669",13.483665
"670",8.9641985
"671",8.071558
"672",11.668407
"673",11.781259
"674",10.266512
"675",18.573734
"676",0
"677",0
"678",0
"679",0
"680",0
"681",0
"682",0
"683",11.346758
"684",11.766889
"685",18.8306865
"686",17.2563325
"687",20.410253
"688",4.9808295
"689",25.768118
"690",26.4361375
"691",2.380495
"692",11.307658
"693",0.1099915
"694",7.9735995
"695",21.951914
"696",20.3688565
"697",20.6656815
"698",22.637254
"699",0
"700",0
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",78.044261
"712",21.3606935
"713",20.500914
"714",19.8099465
"715",14.2699525
"716",72.3777335
"717",67.2414915
"718",17.13648
"719",15.9184095
"720",42.935053
"721",42.288871
"722",30.8629305
"723",28.206744
"724",3.559273
"725",3.6350105
"726",5.837274
"727",6.4874055
"728",16.520348
"729",16.03436
"730",14.943572
"731",12.9576405
"732",12.4521045
"733",7.854425
"734",3.955669
"735",0
"736",0
"737",0
"738",0
"739",0
"740",3.195963
"741",0.1093
"742",2.498857
"743",7.7177155
"744",8.856844
"745",12.5235945
"746",11.658196
"747",7.391945
"748",3.978992
"749",0.9405005
"750",3.8199945
"751",8.2332635
"752",11.3265075
"753",1.3435585
"754",4.549579
"755",1.7300965
"756",0
"757",0
"758",0
"759",0
"760",0
"761",0
"762",0
"763",0
"764",2.1275035
"765",15.2445905
"766",2.6888615
"767",7.3213465
"768",8.506947
"769",1.571699
"770",3.3876535
"771",1.9704305
"772",7.358256
"773",6.1198265
"774",10.7798415
"775",16.2299725
"776",0
"777",0
"778",0
"779",0
"780",0
"781",0
"782",0
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",0
"799",0
"800",0
"801",0
"802",0
"803",0
"804",0
"805",0
"806",0
"807",0
"808",0
"809",0
"810",38.0131255
"811",38.366029
"812",44.6014215
"813",41.1275335
"814",39.512382
"815",37.8670535
"816",33.110058
"817",31.422836
"818",30.5736135
"819",30.9519785
"820",29.5646955
"821",27.2038205
"822",25.958072
"823",25.482555
"824",21.55205
"825",19.7687
"826",19.014019
"827",18.2551695
"828",17.832132
"829",17.6378415
"830",13.733146
"831",9.417996
"832",8.469201
"833",7.0751685
"834",2.35616
"835",1.726489
"836",1.7019735
"837",0.8008095
"838",4.2853485
"839",7.6261975
"840",8.284338
"841",7.83612
"842",11.236716
"843",11.6833685
"844",12.280132
"845",12.332907
"846",12.1243015
"847",12.094013
"848",12.314441
"849",13.615992
"850",17.998747
"851",21.902345
"852",23.1987555
"853",23.5573605
"854",24.1923045
"855",27.7407655
"856",28.5073245
"857",27.994518
"858",24.3718505
"859",26.532692
"860",27.333159
"861",27.4866585
"862",25.412562
"863",27.3069155
"864",28.8146035
"865",29.446638
"866",29.302125
"867",31.437675
"868",34.375661
"869",34.9204055
"870",35.0375805
"871",35.2773675
"872",35.1802865
"873",33.847995
"874",32.9334455
"875",32.60903
"876",32.557031
"877",32.140104
"878",31.213014
"879",26.202693
"880",25.6571305
"881",25.4226265
"882",23.305281
"883",20.7329
"884",20.701013
"885",20.6496105
"886",21.8662425
"887",26.322525
"888",30.441808
"889",31.090456
"890",31.587966
"891",33.06417
"892",36.4464575
"893",37.214178
"894",36.168974
"895",35.983248
"896",36.012336
"897",35.997404
"898",36.9684295
"899",40.02909
"900",39.826294
"901",40.0761
"902",40.272351
"903",40.2852495
"904",41.147895
"905",41.766326
"906",42.726587
"907",42.336945
"908",42.0450885
"909",39.340613
"910",37.374472
"911",37.329552
"912",37.393097
"913",37.4875
"914",36.833356
"915",36.076496
"916",37.360745
"917",38.9611525
"918",39.161708
"919",39.198663
"920",39.210601
"921",47.7435525
"922",55.652152
"923",54.3011685
"924",25.568809
"925",17.2537455
"926",21.222335
"927",44.7948905
"928",41.0849045
"929",41.7939745
"930",32.961508
"931",32.1638315
"932",20.3810365
"933",21.7345205
"934",9.673839
"935",13.834336
"936",10.8439815
"937",13.195035
"938",10.280353
"939",8.717858
"940",6.81462
"941",2.0747925
"942",2.2597005
"943",2.6794455
"944",2.952931
"945",6.6801115
"946",8.326554
"947",0
"948",0
"949",0
"950",0
"951",0
"952",28.3515175
"953",25.5755195
"954",23.498247
"955",19.03199
"956",16.205159
"957",7.386819
"958",4.1235
"959",1.5339545
"960",0
"961",0
"962",0
"963",0
"964",0
"965",0
"966",6.881504
"967",9.163591
"968",11.2413235
"969",0
"970",0
"971",0
"972",0
"973",0
"974",0
"975",0
"976",0
"977",0
"978",2.3945515
"979",2.3981185
"980",5.767159
"981",7.59434
"982",7.362435
"983",5.182528
"984",8.329953
"985",8.2366625
"986",10.81461
"987",12.244042
"988",16.138703
"989",16.4414725
"990",21.11209
"991",23.481949
"992",29.490759
"993",33.264568
"994",18.635514
"995",16.5916585
"996",17.81143
"997",17.8555255
"998",16.6237875
"999",18.7490935
"1000",45.1417735
"1001",42.9600855
"1002",52.7667495
"1003",57.189397
"1004",52.939008
"1005",46.3835925
"1006",5.584813
"1007",4.6005005
"1008",6.1520825
"1009",9.059689
"1010",16.05468
"1011",19.771546
"1012",17.600206
"1013",13.8363775
"1014",14.585548
"1015",2.985255
"1016",1.6825855
"1017",0.26229
"1018",0.014514
"1019",1.2782345
"1020",3.054019
"1021",4.8900445
"1022",6.4517245
"1023",8.6992035
"1024",9.201046
"1025",9.916692
"1026",18.86524
"1027",26.471205
"1028",25.038646
"1029",25.679544
"1030",26.2319275
"1031",26.340881
"1032",25.9742865
"1033",25.5330835
"1034",25.181105
"1035",26.372234
"1036",26.747689
"1037",26.6783285
"1038",26.6131955
"1039",26.438582
"1040",26.3544555
"1041",0
"1042",0
"1043",0
"1044",0
"1045",0
"1046",0
"1047",0
"1048",0
"1049",0
"1050",0
"1051",16.146948
"1052",15.8863345
"1053",13.7929715
"1054",12.8487495
"1055",18.4880915
"1056",18.632874
"1057",3.1639345
"1058",6.0775235
"1059",20.057204
"1060",24.6302985
"1061",9.5271125
"1062",5.328087
"1063",4.039204
"1064",9.1564355
"1065",5.967509
"1066",8.1678465
"1067",13.415068
"1068",13.726659
"1069",14.4506925
"1070",14.475697
"1071",13.9318705
"1072",2.3942345
"1073",6.2581505
"1074",3.861004
"1075",0.166222
"1076",3.4788885
"1077",1.6307015
"1078",0.67532
"1079",1.1348095
"1080",1.370845
"1081",1.676481
"1082",9.854279
"1083",14.2317735
"1084",17.0595465
"1085",20.809919
"1086",22.6301185
"1087",28.4633715
"1088",25.677041
"1089",25.1107425
"1090",24.728803
"1091",23.113629
"1092",22.3656075
"1093",22.53578
"1094",22.3453375
"1095",22.0244005
"1096",23.942852
"1097",26.2504935
"1098",21.237184
"1099",20.359318
"1100",23.234038
"1101",18.609662
"1102",17.5269345
"1103",2.113992
"1104",2.232367
"1105",2.0516805
"1106",2.75058
"1107",2.851443
"1108",3.869778
"1109",3.016684
"1110",2.958192
"1111",3.3465375
"1112",3.056124
"1113",0.0088775
"1114",0.070898
"1115",0.1183775
"1116",0.159356
"1117",0.250792
"1118",1.0780625
"1119",2.830896
"1120",1.911906
"1121",2.1909765
"1122",5.8305775
"1123",6.978992
"1124",6.8813775
"1125",7.6459125
"1126",10.91398
"1127",10.172251
"1128",9.380808
"1129",9.1422205
"1130",8.568222
"1131",7.097481
"1132",7.6225895
"1133",7.449174
"1134",6.3746935
"1135",6.65853
"1136",6.189755
"1137",4.670628
"1138",4.466984
"1139",2.520193
"1140",1.0619545
"1141",1.029097
"1142",12.8854465
"1143",10.431614
"1144",9.850039
"1145",9.9118105
"1146",21.5790285
"1147",23.935673
"1148",4.9400645
"1149",4.040418
"1150",5.8706055
"1151",28.175582
"1152",29.108334
"1153",29.0696365
"1154",29.2114665
"1155",29.120729
"1156",30.4791865
"1157",31.320273
"1158",31.229464
"1159",31.3845195
"1160",31.878122
"1161",32.5512835
"1162",32.569432
"1163",32.291742
"1164",30.5520615
"1165",26.14113
"1166",24.794869
"1167",24.233604
"1168",23.066836
"1169",20.2601965
"1170",20.1729025
"1171",19.515299
"1172",14.582379
"1173",0
"1174",0
"1175",0
"1176",0
"1177",15.6403545
"1178",17.848735
"1179",18.0885585
"1180",15.887865
"1181",20.079095
"1182",22.0790265
"1183",22.144562
"1184",24.889916
"1185",25.896675
"1186",26.279981
"1187",27.369344
"1188",31.5358875
"1189",32.226831
"1190",32.549832
"1191",33.9838375
"1192",34.5721065
"1193",35.004807
"1194",34.977794
"1195",34.996708
"1196",34.254475
"1197",32.829857
"1198",29.387864
"1199",28.4895415
"1200",28.077503
"1201",28.806805
"1202",28.1644355
"1203",27.623169
"1204",27.73288
"1205",28.0204485
"1206",29.2461675
"1207",31.848047
"1208",33.8338975
"1209",39.255378
"1210",34.946242
"1211",34.034843
"1212",38.7180685
"1213",18.3932895
"1214",19.487102
"1215",10.9415495
"1216",9.312133
"1217",8.2564005
"1218",4.72861
"1219",0.0224195
"1220",1.145494
"1221",4.328625
"1222",11.64682
"1223",13.0124715
"1224",11.6362065
"1225",11.524355
"1226",26.13448
"1227",24.512784
"1228",7.365175
"1229",8.4075215
"1230",16.930647
"1231",7.2420505
"1232",5.1712185
"1233",5.0478375
"1234",4.4275665
"1235",3.5312665
"1236",3.4220975
"1237",3.9512255
"1238",10.572934
"1239",10.805678
"1240",10.178622
"1241",12.54376
"1242",19.4018115
"1243",20.104345
"1244",13.632241
"1245",13.786128
"1246",13.5409515
"1247",13.7427695
"1248",16.1205065
"1249",14.9388615
"1250",13.743215
"1251",14.681825
"1252",29.9841385
"1253",28.238139
"1254",28.787744
"1255",28.63879
"1256",25.526406
"1257",20.599594
"1258",5.106324
"1259",4.110278
"1260",1.689954
"1261",1.932718
"1262",2.35759
"1263",30.361598
"1264",31.217417
"1265",31.8203775
"1266",32.282944
"1267",42.2366115
"1268",40.513843
"1269",40.0868675
"1270",38.1058325
"1271",40.9828055
"1272",43.812524
"1273",44.3136965
"1274",45.217451
"1275",21.3242085
"1276",22.520034
"1277",19.0585845
